NAME,lat,lng,index
兴安盟,46.0777,122.019667,209
锡林郭勒盟,43.9314,116.091,210
阿拉善盟,38.842967,105.699667,211
阜新,42.0274,121.6604,212
辽阳,41.2534,123.167,213
铁岭,42.2764,123.81525,214
朝阳,41.585,120.428,215
四平,43.172933,124.367667,216
辽源,42.895,125.1465,217
通化,41.72685,125.9425,218
白山,41.93125,126.4065,219
松原,45.126,124.841,220
白城,45.6232,122.8325,221
延边州,42.8925,129.453333,222
鸡西,45.2975,130.971,223
鹤岗,47.324325,130.2385,224
双鸭山,46.6278,131.1595,225
伊春,47.973233,129.092333,226
佳木斯,46.79774,130.3476,227
七台河,45.806,130.937667,228
黑河,50.247167,127.471333,229
绥化,46.64555,126.9785,230
大兴安岭地区,50.4243,124.1245,231
蚌埠,32.92925,117.357,232
淮南,32.650967,116.877,233
淮北,33.940267,116.797333,234
铜陵,30.929617,117.809,235
安庆,30.546425,117.0315,236
黄山,29.903033,118.255667,237
滁州,32.3,118.316333,238
阜阳,32.888533,115.817667,239
宿州,33.6357,116.978,240
六安,31.76245,116.51475,241
亳州,33.848,115.795,242
池州,30.652333,117.482667,243
宣城,30.954,118.738,244
莆田,25.43068,119.0426,245
三明,26.270475,117.64675,246
南平,26.64825,118.156,247
龙岩,25.079525,117.02025,248
宁德,26.672133,119.519667,249
景德镇,29.30422,117.2242,250
萍乡,27.60454,113.9022,251
新余,27.81016,114.9628,252
鹰潭,28.20856,117.0132,253
赣州,25.86134,114.9224,254
吉安,27.1013,114.98825,255
宜春,27.79756,114.3782,256
抚州,27.99942,116.3362,257
上饶,28.448825,117.95825,258
鹤壁,35.794533,114.251333,259
新乡,35.291,113.88225,260
濮阳,35.76605,115.0405,261
许昌,34.0128,113.815,262
漯河,33.570325,114.02675,263
南阳,32.99454,112.5296,264
商丘,34.41665,115.65575,265
驻马店,32.9893,114.009,266
黄石,30.20574,115.0032,267
十堰,32.563675,110.858,268
襄阳,32.07015,112.172,269
鄂州,30.393033,114.866667,270
荆门,31.0284,112.203,271
孝感,30.918,113.9285,272
黄冈,30.4632,114.8945,273
咸宁,29.840425,114.31325,274
随州,31.716367,113.379667,275
恩施州,30.2904,109.4865,276
衡阳,26.900183,112.593333,277
邵阳,27.25482,111.4742,278
益阳,28.59404,112.3612,279
郴州,25.82592,113.0208,280
永州,26.35018,111.612,281
怀化,27.55854,109.9786,282
娄底,27.72854,111.9916,283
湘西州,28.280067,109.689667,284
梧州,23.46215,111.27575,285
防城港,21.673433,108.347667,286
钦州,21.886867,108.626,287
贵港,23.10325,109.58525,288
玉林,22.653133,110.140667,289
百色,23.89275,106.6315,290
贺州,24.41235,111.5445,291
河池,24.700533,108.122667,292
来宾,23.72885,109.2225,293
崇左,22.39225,107.359,294
广元,32.437375,105.849,295
遂宁,30.575675,105.711,296
内江,29.588475,105.05275,297
乐山,29.5738,103.7605,298
眉山,30.067275,103.85625,299
广安,30.47628,106.6336,300
达州,31.22138,107.5034,301
雅安,29.99185,103.00525,302
巴中,31.854325,106.75425,303
资阳,30.133,104.6406,304
阿坝州,31.908167,102.212333,305
甘孜州,30.04905,101.9615,306
凉山州,27.8656,102.275,307
六盘水,26.58296,104.8644,308
安顺,26.247775,105.927,309
铜仁地区,27.7264,109.1855,310
毕节,27.30345,105.298,311
黔西南州,25.09585,104.8915,312
黔东南州,26.5735,107.9685,313
黔南州,26.2403,107.523,314
保山,25.12045,99.16945,315
昭通,27.33765,103.713,316
丽江,26.876133,100.228,317
普洱,22.79775,100.981,318
临沧,23.8902,100.0825,319
楚雄州,25.04665,101.543,320
红河州,23.426233,103.358,321
文山州,23.3743,104.2425,322
西双版纳州,22.0122,100.798,323
大理州,25.64325,100.1855,324
德宏州,24.4345,98.5811,325
怒江州,25.8492,98.85735,326
迪庆州,27.82265,99.706,327
昌都地区,31.1266,97.18065,328
山南地区,29.24615,91.7657,329
日喀则地区,29.25415,88.89035,330
那曲地区,31.47895,92.0581,331
阿里地区,32.50195,80.1028,332
林芝地区,29.6504,94.36485,333
汉中,33.100225,107.005,334
榆林,38.2893,109.7375,335
安康,32.689733,109.022,336
商洛,33.8612,109.9405,337
白银,36.54695,104.173,338
天水,34.497867,105.864667,339
武威,37.93345,102.6345,340
张掖,38.9428,100.4595,341
平凉,35.53775,106.6865,342
酒泉,39.7377,98.50565,343
